Date,TotalStreams,TotalEngagement,TotalSpent
"Sep 6, 2024",126955,20890.0,335
"Sep 7, 2024",126955,41780.0,970
"Sep 8, 2024",248976,62670.0,970
"Sep 9, 2024",404557,82560.0,1110
"Sep 10, 2024",523498,104450.0,1110
"Sep 11, 2024",638270,125350.0,1110
"Sep 12, 2024",752773,146230.0,1975
"Sep 13, 2024",870148,167126.0,2310
"Sep 14, 2024",998839,175100.0,2360
"Sep 15, 2024",1112497,188350.0,2360
"Sep 16, 2024",1224341,196839.0,2410
"Sep 17, 2024",1374701,212169.0,2460
"Sep 18, 2024",1533664,217135.0,2540
"Sep 19, 2024",1696394,220210.0,2540
"Sep 20, 2024",1863914,239664.0,2640
"Sep 21, 2024",2028009,241409.0,2640
"Sep 22, 2024",2164608,246554.0,2640
"Sep 23, 2024",2283316,249945.0,2800
"Sep 24, 2024",2430516,250937,2900
"Sep 25, 2024",2580626,252840,2900
"Sep 26, 2024",2748666,254040,3100
"Sep 27, 2024",2918666,256030,3100
"Sep 28, 2024",3084645,448646,3100
"Sep 29, 2024",3228459,469507,3100
"Sep 30, 2024",3358459,477840,3100
"Oct 1, 2024",3518821,480078,3100
"Oct 2, 2024",3686501,482480,3100
"Oct 3, 2024",3856281,484870,3100
